"","V1","V2","V3","V4","V5","V6"
"Weight",837,29.1083632019116,5.14887471535614,28.5,0.177971145401439,1.75441405939721e-118
"Height",837,130.875985663082,6.89278515660435,131.5,0.238249508318453,0.312571863279667
"BMI",837,16.9117048984468,2.12814616073972,16.568,0.0735594922671032,3.04506471652761e-147
"BA.CA",837,1.83678614097969,0.936452032915322,1.8,0.0323685174188432,1.02862242630162e-13
"BA",837,9.69510155316607,1.15299169646395,9.5,0.0398532231219466,1.09771475140095e-32
"SHBG",834,81.7567865707434,33.5043841532509,78.73,1.16016194059433,8.83576575791139e-54
"Breast",835,2.34431137724551,0.548335697561743,2,0.0189759392948119,5.93921268637748e-32
"Uterus.L",837,2.33266427718041,0.389439172673711,2.3,0.0134609870032806,0.00271219145156868
"Uterus.AP",836,1.6252990430622,0.409954905128118,1.6,0.0141785868704982,2.88886851663274e-146
"Uterus.T",837,0.983560334528076,0.287736152654451,0.92,0.00994561637100818,3.82318398502815e-155
"Left.Ovary.volume",837,2.50731405017921,1.2047272184557,2.28577,0.0416414643621836,9.67268870596272e-165
"Left.Ovary.L",837,2.72409796893668,0.410273633695171,2.7,0.0141811313254472,5.14955745030565e-152
"Left.Ovary.AP",837,1.44123058542413,0.289275271000988,1.4,0.00999881608360259,5.6426723965105e-154
"Left.Ovary.T",837,1.15476702508961,0.240503060216613,1.1,0.008313001862649,1.63660443837904e-142
"Right.Ovary.volume",836,2.57189812507655,1.1931232000438,2.35485,0.0412650287322237,9.39171835461392e-168
"Right.Ovary.L",837,2.74733572281959,0.407416235353979,2.7,0.0140823651903666,5.47910893149088e-173
"Right.Ovary.AP",836,1.4544976076555,0.304175510703336,1.4,0.0105201300153674,4.75609488115135e-92
"Right.Ovary.T",837,1.16718040621266,0.236470118484764,1.2,0.00817360300386269,6.16157112536116e-171
"T",656,1.04689024390244,5.30077255727557,0.7,0.206960397796403,0.446407112473195
"E2",686,109.391282798834,73.2562736574612,93.83,2.79693752508136,8.68122239884949e-127
